epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,119.674,1.57717,1.44677,1.16831,0.87397,0.78957,0.85692,0.46858,1.40566,0.8704,1.10021,0.00998982,0.00332994,0.00998982,0.00332994,0.00998982,0.00332994,0.00998982,0.00332994
2,216.582,1.52044,0.94979,1.11854,0.86945,0.74973,0.82115,0.43515,1.47726,0.91418,1.15138,0.019594,0.00653134,0.019594,0.00653134,0.019594,0.00653134,0.019594,0.00653134
3,310.933,1.54338,0.93195,1.13945,0.85762,0.7713,0.83684,0.43521,1.50368,0.87108,1.19823,0.0288022,0.00960074,0.0288022,0.00960074,0.0288022,0.00960074,0.0288022,0.00960074
4,399.826,1.52343,0.89515,1.14013,0.87912,0.81309,0.87097,0.48337,1.40273,0.7793,1.14448,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,488.664,1.49455,0.8408,1.12597,0.89485,0.82106,0.88391,0.49587,1.3842,0.72367,1.13293,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,577.647,1.4748,0.81136,1.11676,0.89646,0.83426,0.88976,0.50564,1.35888,0.69243,1.11517,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,666.276,1.45471,0.78682,1.10886,0.90061,0.84005,0.89838,0.51211,1.35334,0.68001,1.11279,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,754.834,1.43827,0.7679,1.10026,0.90035,0.83816,0.89998,0.51576,1.34539,0.67422,1.11119,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,843.697,1.42711,0.75611,1.09432,0.91083,0.84857,0.90371,0.52227,1.33548,0.65707,1.10081,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,932.418,1.41699,0.7447,1.09134,0.91209,0.85133,0.90884,0.52647,1.3263,0.63741,1.09637,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1021.16,1.41106,0.73437,1.09056,0.90828,0.85899,0.91073,0.53082,1.31682,0.63185,1.09449,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1109.6,1.40732,0.73032,1.08865,0.90869,0.86307,0.91289,0.53261,1.31474,0.62697,1.09459,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1199.59,1.40178,0.7208,1.0827,0.91268,0.86601,0.9176,0.53591,1.30667,0.61583,1.09222,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1290.64,1.39693,0.71551,1.08179,0.91244,0.8688,0.91814,0.53716,1.30921,0.61882,1.08903,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1381.42,1.3936,0.70924,1.07848,0.92102,0.8692,0.92019,0.54302,1.29201,0.60326,1.08084,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1471.91,1.38351,0.703,1.07725,0.91534,0.87472,0.92289,0.54536,1.28867,0.60039,1.07914,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
